Terrain Entity Table (1345)
-------------------------------------
DIR      |Sup Elev  |Grade   |Curve  
43.9774  |0         |0.0900  |1.3490 
44.0214  |0         |-0.0900 |1.3490 
44.1145  |0         |-0.0900 |1.4660 
44.1214  |0         |0.0500  |1.4660 
44.2617  |0         |0.0500  |1.5130 
44.2714  |0         |-0.0100 |1.5130 
44.3990  |0         |-0.0100 |0.0000 
44.7714  |0         |-0.1100 |0.0000 
44.8547  |0         |-0.0100 |0.0000 
44.9257  |0         |-0.0100 |0.1770 
45.1189  |0         |0.0400  |0.1770 
45.3740  |0         |0.0400  |0.0000 
45.4098  |0         |-0.0300 |0.0000 
45.6295  |0         |-0.0300 |0.1550 
45.7822  |0         |-0.1100 |0.1550 
45.8903  |0         |0.0000  |0.1550 
45.8983  |0         |0.0000  |0.0000 
46.3369  |0         |0.0000  |0.2509 
46.4183  |0         |-0.0700 |0.2509 
46.5333  |0         |-0.2300 |0.2509 
46.6619  |0         |-0.4300 |0.2509 
46.7443  |0         |-0.4300 |0.0000 
46.8852  |0         |-0.2200 |0.6639 
46.9810  |0         |-0.2200 |1.2060 
47.1085  |0         |0.0300  |1.2060 
47.1288  |0         |0.0300  |1.2570 
47.2664  |0         |0.0300  |1.3400 
47.4142  |0         |0.0300  |0.0000 
47.4187  |0         |-0.2500 |0.0000 
47.5028  |0         |-0.2500 |0.4310 
47.7513  |0         |-0.2500 |0.0000 
47.7871  |0         |-0.0900 |0.0000 
47.8939  |0         |0.1300  |0.0000 
48.0394  |0         |-0.0700 |0.0000 
48.1750  |0         |-0.2700 |0.0000 
48.3011  |0         |0.0900  |0.0000 
48.4077  |0         |0.0000  |0.0000 
48.4875  |0         |0.0000  |0.2570 
48.6405  |0         |-0.1200 |0.2570 
48.7539  |0         |-0.1200 |0.6530 
48.7763  |0         |0.1900  |0.6530 
48.9049  |0         |0.1900  |0.0000 
48.9799  |0         |0.1000  |0.0000 
49.0176  |0         |0.1000  |0.6380 
49.1543  |0         |-0.0400 |0.6380 
49.1871  |0         |-0.0400 |1.0460 
49.2805  |0         |0.0500  |1.0460 
49.3180  |0         |0.0500  |0.0000 
49.6102  |0         |-0.0200 |0.0000 
49.7943  |0         |-0.0400 |0.4490 
49.9278  |0         |0.0500  |0.4490 
50.0007  |0         |0.0500  |0.5380 
50.1278  |0         |-0.0200 |0.5380 
50.1858  |0         |-0.0200 |0.0000 
50.3219  |0         |-0.0200 |0.1430 
50.7197  |0         |-0.0200 |0.9290 
50.8278  |0         |0.0000  |0.9290 
50.8924  |0         |0.0000  |1.1150 
51.0242  |0         |0.0000  |1.1440 
51.1767  |0         |0.0000  |0.0000 
51.2445  |0         |-0.0600 |0.0000 
51.4278  |0         |0.0100  |0.0000 
51.6642  |0         |0.0100  |0.1230 
51.8253  |0         |0.0100  |0.6370 
51.9771  |0         |0.0100  |0.0000 
52.0445  |0         |-0.0200 |0.0000 
52.6123  |0         |-0.0200 |0.2020 
52.8278  |0         |0.0800  |0.2020 
